タイトル,メモ,URL,コメント
道の駅 田野駅屋,,https://www.google.com/maps/place/%E9%81%93%E3%81%AE%E9%A7%85+%E7%94%B0%E9%87%8E%E9%A7%85%E5%B1%8B/data=!4m2!3m1!1s0x354df61c788b5337:0xc400765edbd01638,
産寧坂（三年坂）,,https://www.google.com/maps/place/%E7%94%A3%E5%AF%A7%E5%9D%82%EF%BC%88%E4%B8%89%E5%B9%B4%E5%9D%82%EF%BC%89/data=!4m2!3m1!1s0x60010879a219f8af:0xa3504d2600725c07,
相撲場,,https://www.google.com/maps/place/%E7%9B%B8%E6%92%B2%E5%A0%B4/data=!4m2!3m1!1s0x60187de57b782a89:0x1267b729b250fbd,
野森稲荷神社鳥居,鳥居たくさん,https://www.google.com/maps/place/%E9%87%8E%E6%A3%AE%E7%A8%B2%E8%8D%B7%E7%A5%9E%E7%A4%BE%E9%B3%A5%E5%B1%85/data=!4m2!3m1!1s0x3554e2a40eb641cb:0xbca6affbe7300c8f,
鳴門天然温泉 あらたえの湯,デカくて安い,https://www.google.com/maps/place/%E9%B3%B4%E9%96%80%E5%A4%A9%E7%84%B6%E6%B8%A9%E6%B3%89+%E3%81%82%E3%82%89%E3%81%9F%E3%81%88%E3%81%AE%E6%B9%AF/data=!4m2!3m1!1s0x355365c0e325e09b:0xdd85dad4dcd76708,
学島橋,狭い橋,https://www.google.com/maps/place/%E5%AD%A6%E5%B3%B6%E6%A9%8B/data=!4m2!3m1!1s0x3553a507359f68b5:0x2191ea7a2ae17e4b,
三宅農機商会,異常,https://www.google.com/maps/place/%E4%B8%89%E5%AE%85%E8%BE%B2%E6%A9%9F%E5%95%86%E4%BC%9A/data=!4m2!3m1!1s0x3553b64c6bea038b:0x147fd0a1ab8bde94,
与島PA,橋がよく見える,https://www.google.com/maps/place/%E4%B8%8E%E5%B3%B6PA/data=!4m2!3m1!1s0x3553dfd8bad2d0d5:0xd3909ae37ac60877,
脇町潜水橋,狭い,https://www.google.com/maps/place/%E8%84%87%E7%94%BA%E6%BD%9C%E6%B0%B4%E6%A9%8B/data=!4m2!3m1!1s0x3553b71122496a39:0x6944103b2a81d82c,
(株)キッカワ メインオフィス,謎の成金像,https://www.google.com/maps/place/(%E6%A0%AA)%E3%82%AD%E3%83%83%E3%82%AB%E3%83%AF+%E3%83%A1%E3%82%A4%E3%83%B3%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B9/data=!4m2!3m1!1s0x3553fd9d9abb3e41:0xffaad271cd00a20,
脇町・うだつの町並み,夜に行くと雰囲気良い,https://www.google.com/maps/place/%E8%84%87%E7%94%BA%E3%83%BB%E3%81%86%E3%81%A0%E3%81%A4%E3%81%AE%E7%94%BA%E4%B8%A6%E3%81%BF/data=!4m2!3m1!1s0x3553b710f5fc5f29:0xf2cb60c5c9f15265,
うたづ海ホタル,ポケストップ,https://www.google.com/maps/place/%E3%81%86%E3%81%9F%E3%81%A5%E6%B5%B7%E3%83%9B%E3%82%BF%E3%83%AB/data=!4m2!3m1!1s0x3553df348727e5e1:0x9263330a2774642f,
福林湖,作りかけ橋,https://www.google.com/maps/place/%E7%A6%8F%E6%9E%97%E6%B9%96/data=!4m2!3m1!1s0x3553e2be2caa7ed5:0x2d652bd667ecb1f,
児島ジーンズストリート,ジーンズの聖地,https://www.google.com/maps/place/%E5%85%90%E5%B3%B6%E3%82%B8%E3%83%BC%E3%83%B3%E3%82%BA%E3%82%B9%E3%83%88%E3%83%AA%E3%83%BC%E3%83%88/data=!4m2!3m1!1s0x3553e21cb8e1bf53:0xcf3c40ba2f5bfcea,
鹿忍グリーンファーム跡(水没ペンション村),水没廃村,https://www.google.com/maps/place/%E9%B9%BF%E5%BF%8D%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%E3%83%95%E3%82%A1%E3%83%BC%E3%83%A0%E8%B7%A1(%E6%B0%B4%E6%B2%A1%E3%83%9A%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%E6%9D%91)/data=!4m2!3m1!1s0x355473e5a29c5cf9:0x4727bb45950d679f,
須濱神社,沼の中,https://www.google.com/maps/place/%E9%A0%88%E6%BF%B1%E7%A5%9E%E7%A4%BE/data=!4m2!3m1!1s0x35551d92e69579b3:0x52121172591dc662,
鉄人28号モニュメント,突然,https://www.google.com/maps/place/%E9%89%84%E4%BA%BA28%E5%8F%B7%E3%83%A2%E3%83%8B%E3%83%A5%E3%83%A1%E3%83%B3%E3%83%88/data=!4m2!3m1!1s0x6000857bf3198659:0x146e4caeef7ca055,
道の駅 あわじ,駐車場が広い,https://www.google.com/maps/place/%E9%81%93%E3%81%AE%E9%A7%85+%E3%81%82%E3%82%8F%E3%81%98/data=!4m2!3m1!1s0x6000827ccb98d373:0x5f7e2d93e728da07,
おのころ島神社,巨大鳥居,https://www.google.com/maps/place/%E3%81%8A%E3%81%AE%E3%81%93%E3%82%8D%E5%B3%B6%E7%A5%9E%E7%A4%BE/data=!4m2!3m1!1s0x3554a3fe9c37b2fd:0x2c4fabbb45aa5f18,
北淡震災記念公園 野島断層保存館,解説のお姉さんがロボット,https://www.google.com/maps/place/%E5%8C%97%E6%B7%A1%E9%9C%87%E7%81%BD%E8%A8%98%E5%BF%B5%E5%85%AC%E5%9C%92+%E9%87%8E%E5%B3%B6%E6%96%AD%E5%B1%A4%E4%BF%9D%E5%AD%98%E9%A4%A8/data=!4m2!3m1!1s0x3554cc336c622893:0xeb807984e9e83951,
伊弉諾神宮,右翼ではない,https://www.google.com/maps/place/%E4%BC%8A%E5%BC%89%E8%AB%BE%E7%A5%9E%E5%AE%AE/data=!4m2!3m1!1s0x3554b7885b86d03b:0x3f676859d04d093e,
たこせんべいの里,試食食べ放題,https://www.google.com/maps/place/%E3%81%9F%E3%81%93%E3%81%9B%E3%82%93%E3%81%B9%E3%81%84%E3%81%AE%E9%87%8C/data=!4m2!3m1!1s0x3554b7a627b5c6d3:0x7d6772feb10a2cb4,
うずの丘 大鳴門橋記念館,おったまげクレーンは激混み,https://www.google.com/maps/place/%E3%81%86%E3%81%9A%E3%81%AE%E4%B8%98+%E5%A4%A7%E9%B3%B4%E9%96%80%E6%A9%8B%E8%A8%98%E5%BF%B5%E9%A4%A8/data=!4m2!3m1!1s0x3553606972c60c1d:0x12f8132e755001f5,
道の駅うずしおinうずまちテラス,謎オブジェたくさん,https://www.google.com/maps/place/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%86%E3%81%9A%E3%81%97%E3%81%8Ain%E3%81%86%E3%81%9A%E3%81%BE%E3%81%A1%E3%83%86%E3%83%A9%E3%82%B9/data=!4m2!3m1!1s0x3553611c438b6115:0xbdd0958cec712867,
伝説の森公園（モーゼパーク）,無茶苦茶,https://www.google.com/maps/place/%E4%BC%9D%E8%AA%AC%E3%81%AE%E6%A3%AE%E5%85%AC%E5%9C%92%EF%BC%88%E3%83%A2%E3%83%BC%E3%82%BC%E3%83%91%E3%83%BC%E3%82%AF%EF%BC%89/data=!4m2!3m1!1s0x5ff764be94095e3f:0x53af8cf64c0f8809,
千里浜なぎさドライブウェイ,唯一砂の国道,https://www.google.com/maps/place/%E5%8D%83%E9%87%8C%E6%B5%9C%E3%81%AA%E3%81%8E%E3%81%95%E3%83%89%E3%83%A9%E3%82%A4%E3%83%96%E3%82%A6%E3%82%A7%E3%82%A4/data=!4m2!3m1!1s0x5ff7660e96e73247:0xdd75a596d074820f,
此の木隧道,狭いが通れる,https://www.google.com/maps/place/%E6%AD%A4%E3%81%AE%E6%9C%A8%E9%9A%A7%E9%81%93/data=!4m2!3m1!1s0x5ff723df53506b69:0xe8d3dcd9a4345af0,
和倉温泉 総湯,温泉が飲める。安い,https://www.google.com/maps/place/%E5%92%8C%E5%80%89%E6%B8%A9%E6%B3%89+%E7%B7%8F%E6%B9%AF/data=!4m2!3m1!1s0x5ff73b67b4d1e783:0xece739580f1c2bda,
能登島大橋,夜は七尾夜景が綺麗,https://www.google.com/maps/place/%E8%83%BD%E7%99%BB%E5%B3%B6%E5%A4%A7%E6%A9%8B/data=!4m2!3m1!1s0x5ff7249f77115c4d:0x804f5a9443c300e6,
世界一長いベンチ（サンセットヒルイン増穂）,長いけど誰も気にしてない,https://www.google.com/maps/place/%E4%B8%96%E7%95%8C%E4%B8%80%E9%95%B7%E3%81%84%E3%83%99%E3%83%B3%E3%83%81%EF%BC%88%E3%82%B5%E3%83%B3%E3%82%BB%E3%83%83%E3%83%88%E3%83%92%E3%83%AB%E3%82%A4%E3%83%B3%E5%A2%97%E7%A9%82%EF%BC%89/data=!4m2!3m1!1s0x5ff7315982946553:0xaa6d3315950db81d,
イカキング,でかいイカ,https://www.google.com/maps/place/%E3%82%A4%E3%82%AB%E3%82%AD%E3%83%B3%E3%82%B0/data=!4m2!3m1!1s0x5ff6cfcd9c10f84f:0xaf7c5e6b9f48d827,
のと鉄道能登線 蛸島駅跡,線路側から入れる。廃鉄道,https://www.google.com/maps/place/%E3%81%AE%E3%81%A8%E9%89%84%E9%81%93%E8%83%BD%E7%99%BB%E7%B7%9A+%E8%9B%B8%E5%B3%B6%E9%A7%85%E8%B7%A1/data=!4m2!3m1!1s0x5ff6b480e5e5303f:0xad0280dbc03f3b8b,
禄剛崎,たまには登れる,https://www.google.com/maps/place/%E7%A6%84%E5%89%9B%E5%B4%8E/data=!4m2!3m1!1s0x5ff15266beff8109:0x646a6ed82185a6a3,
道の駅 狼煙,あんまり何もない。,https://www.google.com/maps/place/%E9%81%93%E3%81%AE%E9%A7%85+%E7%8B%BC%E7%85%99/data=!4m2!3m1!1s0x5ff152635d69bba7:0x4a5b0c4a70da49dd,
曽々木海岸,穴がよい！接吻スポットもある,https://www.google.com/maps/place/%E6%9B%BD%E3%80%85%E6%9C%A8%E6%B5%B7%E5%B2%B8/data=!4m2!3m1!1s0x5ff1366e8ae6ea25:0xe926f85f739c2fb9,
白米千枚田,混んでる。海が近い,https://www.google.com/maps/place/%E7%99%BD%E7%B1%B3%E5%8D%83%E6%9E%9A%E7%94%B0/data=!4m2!3m1!1s0x5ff1316fd2c3a4cd:0x3721ad0ba5416a33,
権現岩（トトロ岩）,外国人たくさん,https://www.google.com/maps/place/%E6%A8%A9%E7%8F%BE%E5%B2%A9%EF%BC%88%E3%83%88%E3%83%88%E3%83%AD%E5%B2%A9%EF%BC%89/data=!4m2!3m1!1s0x5ff0d28c877da5f7:0xd65eae616071e98f,
パティスリー・シュン,"シュンカフェ始めたの！？
ぱいおつとおしり",https://www.google.com/maps/place/%E3%83%91%E3%83%86%E3%82%A3%E3%82%B9%E3%83%AA%E3%83%BC%E3%83%BB%E3%82%B7%E3%83%A5%E3%83%B3/data=!4m2!3m1!1s0x5ff7722daea94b4b:0x747561b56366dd40,
魚津埋没林博物館,埋没林は意外と全国にある,https://www.google.com/maps/place/%E9%AD%9A%E6%B4%A5%E5%9F%8B%E6%B2%A1%E6%9E%97%E5%8D%9A%E7%89%A9%E9%A4%A8/data=!4m2!3m1!1s0x5ff7a45536a950f3:0x5f4fb7fe250d6829,
ほたるいかミュージアム,噛まれるのは2ヶ月だけ,https://www.google.com/maps/place/%E3%81%BB%E3%81%9F%E3%82%8B%E3%81%84%E3%81%8B%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0/data=!4m2!3m1!1s0x5ff7a3270db11533:0x6d779889547929ae,
氷見温泉郷 総湯,開放感,https://www.google.com/maps/place/%E6%B0%B7%E8%A6%8B%E6%B8%A9%E6%B3%89%E9%83%B7+%E7%B7%8F%E6%B9%AF/data=!4m2!3m1!1s0x5ff7724887661fad:0x1d6b76ad789f84c3,
道の駅 氷見,足湯が暑い,https://www.google.com/maps/place/%E9%81%93%E3%81%AE%E9%A7%85+%E6%B0%B7%E8%A6%8B/data=!4m2!3m1!1s0x5ff773ff0d4e7aa1:0x523efb98d80f19fa,
雨晴(ｱﾏﾊﾗｼ)海岸,,https://www.google.com/maps/place/%E9%9B%A8%E6%99%B4(%EF%BD%B1%EF%BE%8F%EF%BE%8A%EF%BE%97%EF%BD%BC)%E6%B5%B7%E5%B2%B8/data=!4m2!3m1!1s0x5ff777c360d22897:0x2a10f941cf8fac42,
〒283-0801 千葉県東金市八坂台２丁目１−２,ハリウッドのパクリ,https://www.google.com/maps/place/%E3%80%92283-0801+%E5%8D%83%E8%91%89%E7%9C%8C%E6%9D%B1%E9%87%91%E5%B8%82%E5%85%AB%E5%9D%82%E5%8F%B0%EF%BC%92%E4%B8%81%E7%9B%AE%EF%BC%91%E2%88%92%EF%BC%92/data=!4m2!3m1!1s0x6022eab910d16d95:0xdb2a3c1d0bfef505,
祓川橋,取りい,https://www.google.com/maps/place/%E7%A5%93%E5%B7%9D%E6%A9%8B/data=!4m2!3m1!1s0x3553d71d1ce468eb:0x5a48bda0d1023b5b,
ぼら待ちやぐら,ark建築,https://www.google.com/maps/place/%E3%81%BC%E3%82%89%E5%BE%85%E3%81%A1%E3%82%84%E3%81%90%E3%82%89/data=!4m2!3m1!1s0x5ff72947268cbd4d:0xbac6685ca55a5439,
世界一の縄文土器,チワワがずっと吠えてる,https://www.google.com/maps/place/%E4%B8%96%E7%95%8C%E4%B8%80%E3%81%AE%E7%B8%84%E6%96%87%E5%9C%9F%E5%99%A8/data=!4m2!3m1!1s0x5ff6cfe1d82bd7c3:0x6f3b828b8cfc96b2,
指定した地点,成金鳥居,"https://www.google.com/maps/search/37.5033617,137.1901997",
まんがロード,キャラクタが喋る,https://www.google.com/maps/place/%E3%81%BE%E3%82%93%E3%81%8C%E3%83%AD%E3%83%BC%E3%83%89/data=!4m2!3m1!1s0x5ff7723353497d63:0xcdd14e7f9f58c42c,
本川藤由商店,醤油の蔵,https://www.google.com/maps/place/%E6%9C%AC%E5%B7%9D%E8%97%A4%E7%94%B1%E5%95%86%E5%BA%97/data=!4m2!3m1!1s0x5ff773cd05b8741b:0xacfcf0ce48203d08,
歯神社,,https://www.google.com/maps/place/%E6%AD%AF%E7%A5%9E%E7%A4%BE/data=!4m2!3m1!1s0x6000e693903129df:0x3578bcb069b15046,
真言宗 智山派 寶泉山 玉眞院 玉川大師,めちゃくちゃ暗い,https://www.google.com/maps/place/%E7%9C%9F%E8%A8%80%E5%AE%97+%E6%99%BA%E5%B1%B1%E6%B4%BE+%E5%AF%B6%E6%B3%89%E5%B1%B1+%E7%8E%89%E7%9C%9E%E9%99%A2+%E7%8E%89%E5%B7%9D%E5%A4%A7%E5%B8%AB/data=!4m2!3m1!1s0x6018f40dc9f8b42b:0x7154b7d26e3942db,
時計塔,散歩にはよき,https://www.google.com/maps/place/%E6%99%82%E8%A8%88%E5%A1%94/data=!4m2!3m1!1s0x6019f9bf91e506e9:0x7d663824a481b7d7,
金目鯛のオブジェ,機械式きんめ,https://www.google.com/maps/place/%E9%87%91%E7%9B%AE%E9%AF%9B%E3%81%AE%E3%82%AA%E3%83%96%E3%82%B8%E3%82%A7/data=!4m2!3m1!1s0x6019df826da1c45d:0xe9885d665067c5bd,
韮山反射炉ガイダンスセンター,,https://www.google.com/maps/place/%E9%9F%AE%E5%B1%B1%E5%8F%8D%E5%B0%84%E7%82%89%E3%82%AC%E3%82%A4%E3%83%80%E3%83%B3%E3%82%B9%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC/data=!4m2!3m1!1s0x60199477ec5d455d:0x303382228dafd61c,
体感型動物園 iZoo,,https://www.google.com/maps/place/%E4%BD%93%E6%84%9F%E5%9E%8B%E5%8B%95%E7%89%A9%E5%9C%92+iZoo/data=!4m2!3m1!1s0x6019e1b61c3745bf:0xfb40dcaf7437220e,
浄蓮の滝,,https://www.google.com/maps/place/%E6%B5%84%E8%93%AE%E3%81%AE%E6%BB%9D/data=!4m2!3m1!1s0x6019eef8c4c53825:0x4d8fe3c33fd0696e,
大福寺（崖観音）,,https://www.google.com/maps/place/%E5%A4%A7%E7%A6%8F%E5%AF%BA%EF%BC%88%E5%B4%96%E8%A6%B3%E9%9F%B3%EF%BC%89/data=!4m2!3m1!1s0x6017f793b6c81a85:0x82bdde17a15c647f,
久能山東照宮 表参道,,https://www.google.com/maps/place/%E4%B9%85%E8%83%BD%E5%B1%B1%E6%9D%B1%E7%85%A7%E5%AE%AE+%E8%A1%A8%E5%8F%82%E9%81%93/data=!4m2!3m1!1s0x601a373aea00cd89:0xa26b19abb1ba6ba3,
三ツ石,密漁,https://www.google.com/maps/place/%E4%B8%89%E3%83%84%E7%9F%B3/data=!4m2!3m1!1s0x6019b97c1c12465d:0x79c40a93f4649a30,
塩屋埼灯台,ティア高い,https://www.google.com/maps/place/%E5%A1%A9%E5%B1%8B%E5%9F%BC%E7%81%AF%E5%8F%B0/data=!4m2!3m1!1s0x602115174fe79a5b:0x1e81dae218dee4fa,
岡本太郎記念館,,https://www.google.com/maps/place/%E5%B2%A1%E6%9C%AC%E5%A4%AA%E9%83%8E%E8%A8%98%E5%BF%B5%E9%A4%A8/data=!4m2!3m1!1s0x60188b614bafb625:0xdd96b6d74e1eb514,
長九郎(ちょぼくり)稲荷神社,,https://www.google.com/maps/place/%E9%95%B7%E4%B9%9D%E9%83%8E(%E3%81%A1%E3%82%87%E3%81%BC%E3%81%8F%E3%82%8A)%E7%A8%B2%E8%8D%B7%E7%A5%9E%E7%A4%BE/data=!4m2!3m1!1s0x60233cc6af416aab:0x9eb4d8a1e6e020a4,
犬吠埼灯台,,https://www.google.com/maps/place/%E7%8A%AC%E5%90%A0%E5%9F%BC%E7%81%AF%E5%8F%B0/data=!4m2!3m1!1s0x60233ce724bbebff:0x74a6ff413f5a1a5f,
伝説の岩屋,,https://www.google.com/maps/place/%E4%BC%9D%E8%AA%AC%E3%81%AE%E5%B2%A9%E5%B1%8B/data=!4m2!3m1!1s0x6017e5190817dbf3:0xbbb20ad2f60f68b5,
めがね橋(眺尾橋),ボロい橋,https://www.google.com/maps/place/%E3%82%81%E3%81%8C%E3%81%AD%E6%A9%8B(%E7%9C%BA%E5%B0%BE%E6%A9%8B)/data=!4m2!3m1!1s0x6017e54c3ced5ed9:0x1b5fc48bec320abc,
南極観測船宗谷,,https://www.google.com/maps/place/%E5%8D%97%E6%A5%B5%E8%A6%B3%E6%B8%AC%E8%88%B9%E5%AE%97%E8%B0%B7/data=!4m2!3m1!1s0x601889ff5394ea45:0x147ab40074620cf,
天窓洞,,https://www.google.com/maps/place/%E5%A4%A9%E7%AA%93%E6%B4%9E/data=!4m2!3m1!1s0x6019f7730864417f:0xc3d43e3a9d5c345a,
小櫃川河口干潟,,https://www.google.com/maps/place/%E5%B0%8F%E6%AB%83%E5%B7%9D%E6%B2%B3%E5%8F%A3%E5%B9%B2%E6%BD%9F/data=!4m2!3m1!1s0x601873156dd78283:0xd6056cf2b4737723,
素掘り二層式トンネル (向山・共栄トンネル),穴,https://www.google.com/maps/place/%E7%B4%A0%E6%8E%98%E3%82%8A%E4%BA%8C%E5%B1%A4%E5%BC%8F%E3%83%88%E3%83%B3%E3%83%8D%E3%83%AB+(%E5%90%91%E5%B1%B1%E3%83%BB%E5%85%B1%E6%A0%84%E3%83%88%E3%83%B3%E3%83%8D%E3%83%AB)/data=!4m2!3m1!1s0x6022ade08f688283:0x10928749c674b96b,
牛込海岸海中電柱,,https://www.google.com/maps/place/%E7%89%9B%E8%BE%BC%E6%B5%B7%E5%B2%B8%E6%B5%B7%E4%B8%AD%E9%9B%BB%E6%9F%B1/data=!4m2!3m1!1s0x6018753eb4be4c17:0x46a2711f8513a857,
テレコムセンター 展望室,,https://www.google.com/maps/place/%E3%83%86%E3%83%AC%E3%82%B3%E3%83%A0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC+%E5%B1%95%E6%9C%9B%E5%AE%A4/data=!4m2!3m1!1s0x6018620776c64699:0xd5e5d377189a0ef9,
カレッタ汐留 46階展望スペース,,https://www.google.com/maps/place/%E3%82%AB%E3%83%AC%E3%83%83%E3%82%BF%E6%B1%90%E7%95%99+46%E9%9A%8E%E5%B1%95%E6%9C%9B%E3%82%B9%E3%83%9A%E3%83%BC%E3%82%B9/data=!4m2!3m1!1s0x60188b0db0c4d79b:0xc5d45c52a108765b,
玉城城跡,ハート型グスク,https://www.google.com/maps/place/%E7%8E%89%E5%9F%8E%E5%9F%8E%E8%B7%A1/data=!4m2!3m1!1s0x34e56fba25075b01:0xe17aac9309ab7b62,
旧海軍司令部壕,牛島の自決場所,https://www.google.com/maps/place/%E6%97%A7%E6%B5%B7%E8%BB%8D%E5%8F%B8%E4%BB%A4%E9%83%A8%E5%A3%95/data=!4m2!3m1!1s0x34e568548646b01f:0xa23b72b917d9845,
瀬長島 ウミカジテラス,飛行機見ながらタコライス,https://www.google.com/maps/place/%E7%80%AC%E9%95%B7%E5%B3%B6+%E3%82%A6%E3%83%9F%E3%82%AB%E3%82%B8%E3%83%86%E3%83%A9%E3%82%B9/data=!4m2!3m1!1s0x34e5681e893b714d:0xa5360835fe2d83b8,
南山城跡,小学校の隣のグスク,https://www.google.com/maps/place/%E5%8D%97%E5%B1%B1%E5%9F%8E%E8%B7%A1/data=!4m2!3m1!1s0x34e566371fe2cec3:0xdcf668bb8a119c28,
賀茂大橋,じゃんけんするとこ,https://www.google.com/maps/place/%E8%B3%80%E8%8C%82%E5%A4%A7%E6%A9%8B/data=!4m2!3m1!1s0x6001085d6591176b:0x3d5e12524358f59c,
